City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Ahipara,NZ,-35.17,173.17,52.84,84,0,7.07,clear sky,0.0,0
1,Rikitea,PF,-23.12,-134.97,70.41,69,100,13.6,overcast clouds,0.0,0
2,Hofn,IS,64.25,-15.21,53.6,81,75,2.24,broken clouds,0.0,0
3,Bredasdorp,ZA,-34.53,20.04,53.6,62,0,9.17,clear sky,0.0,0
4,Kaitangata,NZ,-46.28,169.85,42.01,74,72,11.01,broken clouds,0.0,0
5,Vaini,TO,-21.2,-175.2,71.6,78,40,11.41,scattered clouds,0.0,0
6,Busselton,AU,-33.65,115.33,63.0,43,0,20.89,light rain,0.14,0
7,Trindade,BR,-16.65,-49.49,66.2,68,46,5.28,scattered clouds,0.0,0
8,Albany,US,42.6,-73.97,73.99,91,74,7.52,broken clouds,0.0,0
9,Itarema,BR,-2.92,-39.92,73.67,85,6,9.06,clear sky,0.0,0
10,Ushuaia,AR,-54.8,-68.3,35.6,80,42,18.34,scattered clouds,0.0,0
11,Hambantota,LK,6.12,81.12,93.2,59,40,12.75,scattered clouds,0.0,0
12,Sorong,ID,-0.88,131.25,77.95,78,100,3.36,overcast clouds,0.0,0
13,Tuktoyaktuk,CA,69.45,-133.04,38.23,88,80,6.26,broken clouds,0.0,0
14,Guerrero Negro,MX,27.98,-114.06,71.56,62,1,9.75,clear sky,0.0,0
15,Am Timan,TD,11.03,20.28,83.16,64,76,6.51,broken clouds,0.0,0
16,San Quintin,MX,30.48,-115.95,71.1,70,0,8.08,clear sky,0.0,0
17,Hobart,AU,-42.88,147.33,45.0,93,20,2.33,few clouds,0.0,0
18,Saint George,US,37.1,-113.58,87.8,20,1,4.0,clear sky,0.0,0
19,Khatanga,RU,71.97,102.5,53.1,93,100,16.71,light rain,0.23,0
20,Avarua,CK,-21.21,-159.78,71.6,88,100,6.93,light rain,0.71,0
21,Vestmannaeyjar,IS,63.44,-20.27,51.94,88,100,7.2,overcast clouds,0.0,0
22,Nanortalik,GL,60.14,-45.24,43.07,91,99,5.03,overcast clouds,0.0,0
23,Doaba,PK,33.42,70.74,92.35,33,2,8.25,clear sky,0.0,0
24,Jamestown,US,42.1,-79.24,64.0,93,1,5.82,clear sky,0.0,0
25,Bambous Virieux,MU,-20.34,57.76,77.0,78,75,16.11,shower rain,0.0,0
26,Longyearbyen,SJ,78.22,15.64,48.2,70,75,4.7,broken clouds,0.0,0
27,Pacific Grove,US,36.62,-121.92,57.2,82,1,6.91,clear sky,0.0,0
28,Maragheh,IR,37.39,46.24,80.6,39,20,18.34,few clouds,0.0,0
29,Kapaa,US,22.08,-159.32,78.8,78,40,19.46,scattered clouds,0.0,0
30,Waddan,LY,29.16,16.14,90.1,25,0,5.95,clear sky,0.0,0
31,Marquette,US,46.53,-87.63,59.0,87,90,6.93,overcast clouds,0.0,0
32,Provideniya,RU,64.38,-173.3,53.37,63,0,1.1,clear sky,0.0,0
33,Glendive,US,47.11,-104.71,60.8,72,1,8.28,clear sky,0.0,0
34,Portland,US,45.52,-122.68,64.0,74,96,1.12,overcast clouds,0.0,0
35,Aksarka,RU,66.56,67.8,62.78,64,74,3.71,broken clouds,0.0,0
36,Port Lincoln,AU,-34.73,135.87,54.27,76,0,8.08,clear sky,0.0,0
37,Thompson,CA,55.74,-97.86,55.4,87,90,3.36,overcast clouds,0.0,0
38,Arman,RU,59.7,150.17,59.76,79,30,4.34,scattered clouds,0.0,0
39,Yurgamysh,RU,55.37,64.47,77.05,45,99,10.54,overcast clouds,0.0,0
40,Bluff,NZ,-46.6,168.33,39.0,83,88,3.0,light rain,0.11,0
41,Lagoa,PT,39.05,-27.98,68.27,85,3,15.03,clear sky,0.0,0
42,Narsaq,GL,60.92,-46.05,46.4,87,98,4.7,overcast clouds,0.0,0
43,Kieta,PG,-6.22,155.63,80.2,78,89,6.6,moderate rain,1.15,0
44,Carnarvon,AU,-24.87,113.63,78.8,27,0,10.29,clear sky,0.0,0
