City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Faanui,PF,2020-07-11 03:02:46,-16.48,-151.75,77.63,80,21,20.71
1,Dalen,NL,2020-07-11 03:06:28,52.7,6.76,51.01,96,1,6.17
2,Bagan,RU,2020-07-11 03:06:29,54.1,77.66,68.52,63,0,9.04
3,Koumac,NC,2020-07-11 03:06:29,-20.57,164.28,72.63,60,3,9.53
4,New Norfolk,AU,2020-07-11 03:06:29,-42.78,147.06,50.0,75,100,8.01
5,Husavik,IS,2020-07-11 03:06:29,66.04,-17.34,42.8,93,90,2.24
6,Barrow,US,2020-07-11 03:06:29,71.29,-156.79,37.4,86,90,8.05
7,Punta Arenas,CL,2020-07-11 03:06:30,-53.15,-70.92,30.2,92,98,9.17
8,Saint-Philippe,RE,2020-07-11 03:06:30,-21.36,55.77,64.4,77,48,2.24
9,Leningradskiy,RU,2020-07-11 03:06:30,69.38,178.42,47.05,70,13,15.01
10,Hilo,US,2020-07-11 03:01:37,19.73,-155.09,84.2,58,90,13.87
11,Les Cayes,HT,2020-07-11 03:06:30,18.2,-73.75,79.68,80,100,4.61
12,Cherskiy,RU,2020-07-11 03:06:30,68.75,161.3,61.5,61,20,12.66
13,Jamestown,US,2020-07-11 03:06:30,42.1,-79.24,72.0,88,90,3.36
14,Kharp,RU,2020-07-11 03:06:31,66.8,65.81,63.88,55,79,5.73
15,Albany,US,2020-07-11 03:03:56,42.6,-73.97,75.0,91,99,6.64
16,Taft,IR,2020-07-11 03:06:31,31.75,54.21,78.8,21,0,2.24
17,Katsuura,JP,2020-07-11 03:06:32,35.13,140.3,86.0,88,75,16.11
18,Dikson,RU,2020-07-11 03:06:32,73.51,80.55,44.08,80,50,14.74
19,Saldanha,ZA,2020-07-11 03:06:32,-33.01,17.94,51.8,81,75,12.75
20,Avarua,CK,2020-07-11 03:06:32,-21.21,-159.78,75.2,78,32,4.7
21,Jonesboro,US,2020-07-11 03:06:32,35.84,-90.7,86.0,58,1,4.7
22,Hobart,AU,2020-07-11 03:06:33,-42.88,147.33,50.0,76,90,10.29
23,Sagarejo,GE,2020-07-11 03:06:33,41.73,45.33,68.0,94,40,3.36
24,Bethel,US,2020-07-11 03:04:12,41.37,-73.41,72.0,100,90,20.8
25,Fairbanks,US,2020-07-11 03:06:33,64.84,-147.72,69.8,34,75,10.29
26,Atuona,PF,2020-07-11 03:06:33,-9.8,-139.03,79.92,79,10,19.6
27,Hermanus,ZA,2020-07-11 03:06:33,-34.42,19.23,52.0,82,95,8.01
28,Faya,SA,2020-07-11 03:06:34,18.39,42.45,71.6,35,18,6.49
29,San Miguel,SV,2020-07-11 03:06:34,13.48,-88.18,73.87,92,100,1.99
30,Busselton,AU,2020-07-11 03:06:34,-33.65,115.33,55.99,56,0,13.27
31,Tiksi,RU,2020-07-11 03:06:34,71.69,128.87,45.66,80,41,7.31
32,Kempele,FI,2020-07-11 03:06:34,64.91,25.5,51.8,93,71,2.24
33,Quang Ngai,VN,2020-07-11 03:06:35,15.12,108.8,94.12,49,100,4.52
34,La Asuncion,VE,2020-07-11 03:06:35,11.03,-63.86,89.6,70,100,11.41
35,Vaini,TO,2020-07-11 03:06:35,-21.2,-175.2,75.2,78,75,10.29
36,Upernavik,GL,2020-07-11 03:01:52,72.79,-56.15,42.37,85,100,10.38
37,Mezhdurechensk,RU,2020-07-11 03:06:36,53.69,88.06,62.15,80,100,2.48
38,Tasiilaq,GL,2020-07-11 03:06:36,65.61,-37.64,39.2,86,0,6.93
39,Asyut,EG,2020-07-11 03:06:06,27.18,31.18,75.2,50,0,6.93
40,Guerrero Negro,MX,2020-07-11 03:06:36,27.98,-114.06,73.67,57,39,13.0
41,Petrykiv,UA,2020-07-11 03:06:36,49.53,25.58,61.07,90,0,4.65
42,Esperance,AU,2020-07-11 03:01:45,-33.87,121.9,53.6,93,75,3.36
43,Ancud,CL,2020-07-11 03:06:37,-41.87,-73.82,45.0,81,75,17.22
44,Salalah,OM,2020-07-11 03:06:37,17.02,54.09,80.6,100,90,6.93
45,Kremnica,SK,2020-07-11 03:06:37,48.71,18.92,60.8,87,61,3.47
46,Kodiak,US,2020-07-11 03:06:37,57.79,-152.41,64.4,59,75,11.41
47,Luderitz,NA,2020-07-11 03:06:37,-26.65,15.16,53.6,93,0,5.82
48,Itarema,BR,2020-07-11 03:06:38,-2.92,-39.92,75.96,85,94,9.42
49,Marathon,US,2020-07-11 03:02:58,44.9,-89.77,73.4,69,20,9.17
50,Khatanga,RU,2020-07-11 03:06:38,71.97,102.5,49.48,89,100,20.38
51,Misratah,LY,2020-07-11 03:06:38,32.38,15.09,73.53,82,0,4.68
52,Rikitea,PF,2020-07-11 03:06:38,-23.12,-134.97,68.09,64,59,16.28
53,Nome,US,2020-07-11 03:04:01,64.5,-165.41,71.01,46,1,14.99
54,Belgrade,RS,2020-07-11 03:06:39,44.8,20.47,73.4,53,66,12.75
55,Nemuro,JP,2020-07-11 03:03:00,43.32,145.57,64.4,93,75,9.17
56,Hithadhoo,MV,2020-07-11 03:06:39,-0.6,73.08,83.68,73,94,8.25
57,Geraldton,AU,2020-07-11 03:06:39,-28.77,114.6,62.6,39,0,19.46
58,Shimoda,JP,2020-07-11 03:06:39,34.67,138.95,82.4,88,75,21.92
59,Bluff,NZ,2020-07-11 03:06:39,-46.6,168.33,51.35,75,70,23.67
60,Merauke,ID,2020-07-11 03:04:40,-8.47,140.33,80.94,79,99,19.1
61,Victoria,HK,2020-07-11 03:05:13,22.29,114.16,91.99,66,82,15.01
62,Mount Isa,AU,2020-07-11 03:06:40,-20.73,139.5,78.8,27,36,12.75
63,Kintampo,GH,2020-07-11 03:06:40,8.06,-1.73,71.1,92,100,6.17
64,Hala,PK,2020-07-11 03:06:40,25.81,68.42,86.0,70,0,4.7
65,Chuy,UY,2020-07-11 03:06:41,-33.7,-53.46,50.79,90,100,8.79
66,Bredasdorp,ZA,2020-07-11 03:06:41,-34.53,20.04,50.0,81,70,16.11
67,Moyale,KE,2020-07-11 03:02:06,3.52,39.06,61.97,86,82,5.99
68,Xocali,AZ,2020-07-11 03:06:41,39.91,46.79,71.64,57,91,1.54
69,Williams Lake,CA,2020-07-11 03:04:26,52.14,-122.14,66.2,39,75,8.05
70,Pitimbu,BR,2020-07-11 03:06:41,-7.47,-34.81,75.06,87,11,12.03
71,Namibe,AO,2020-07-11 03:06:42,-15.2,12.15,59.43,70,0,9.48
72,San Ramon,US,2020-07-11 03:06:42,37.78,-121.98,88.0,18,1,6.93
73,Tubuala,PA,2020-07-11 03:06:42,9.52,-79.03,75.99,88,40,0.83
74,Port Hawkesbury,CA,2020-07-11 03:06:42,45.62,-61.35,61.0,100,90,5.82
75,Bilma,NE,2020-07-11 03:06:43,18.69,12.92,87.75,20,57,8.99
76,Paamiut,GL,2020-07-11 03:06:43,61.99,-49.67,42.01,98,100,0.76
77,Hervey Bay,AU,2020-07-11 03:06:43,-25.3,152.85,75.99,59,1,3.0
78,Wewak,PG,2020-07-11 03:06:43,-3.55,143.63,85.55,66,69,4.83
79,Tirumullaivasal,IN,2020-07-11 03:06:43,11.23,79.83,85.51,64,100,12.01
80,Castro,BR,2020-07-11 03:06:44,-24.79,-50.01,51.35,91,0,3.98
81,Ushuaia,AR,2020-07-11 03:06:44,-54.8,-68.3,33.8,80,20,3.36
82,Kuching,MY,2020-07-11 03:06:44,1.55,110.33,80.6,88,40,5.82
83,Qaanaaq,GL,2020-07-11 03:06:44,77.48,-69.36,43.48,72,100,8.88
84,Taksimo,RU,2020-07-11 03:06:44,56.34,114.88,86.02,34,0,7.4
85,Brae,GB,2020-07-11 03:06:44,60.4,-1.35,51.8,81,77,10.29
86,Bathsheba,BB,2020-07-11 03:06:45,13.22,-59.52,82.4,74,40,21.92
87,Dauphin,CA,2020-07-11 03:06:45,51.15,-100.05,69.8,68,75,4.7
88,Petropavlovsk-Kamchatskiy,RU,2020-07-11 03:03:14,53.05,158.65,66.2,77,75,8.95
89,Prabumulih,ID,2020-07-11 03:06:45,-3.45,104.25,83.19,69,88,4.18
90,Portobelo,PA,2020-07-11 03:06:45,9.55,-79.65,77.0,88,40,3.51
91,Jumla,NP,2020-07-11 03:06:45,29.27,82.18,70.27,56,73,3.38
92,Sao Jose Da Coroa Grande,BR,2020-07-11 03:06:46,-8.9,-35.15,75.4,83,41,9.91
93,Kapaa,US,2020-07-11 03:06:46,22.08,-159.32,82.4,74,40,18.34
94,Zhigansk,RU,2020-07-11 03:06:46,66.77,123.37,72.82,46,86,21.77
95,Colares,PT,2020-07-11 03:06:46,38.8,-9.45,66.0,85,0,14.0
96,Mehamn,NO,2020-07-11 03:06:46,71.04,27.85,47.37,92,100,11.3
97,Cayenne,GF,2020-07-11 03:06:47,4.93,-52.33,77.0,100,100,8.41
